Item ID,Component,Quantity,Unit Price ($),Supplier,Delivery Date,Description,Specification,SKU,Category,Order Number,Quality Check
FR-001,Carbon Fiber Frame,1,1899.99,SpecialBikes Inc.,4/15/2025,Full carbon road frame,56cm internal cable routing BB86 bottom bracket,SPB-CF-56,Frame,ORD-2025-1443,PASS
FR-001,Carbon Fiber Frame,1,1899.99,SpecialBikes Inc.,4/15/2025,Full carbon road frame,56cm internal cable routing BB86 bottom bracket,SPB-CF-56,Frame,ORD-2025-1443,PASS
FR-002,Carbon Fork,1,449.99,SpecialBikes Inc.,15-04-2025,Full carbon fork with tapered steerer,1-1/8" to 1-1/2" 45mm rake 390mm length,SPB-FK-TAP,Frame,ORD-2025-1443,PENDING
FR-002,Carbon Fork,1,449.99,SpecialBike Inc,15-04-2025,Full carbon fork with tapered steerer,1-1/8" to 1-1/2" 45mm rake 390mm length,SPB-FK-TAP,Frame,ORD-2025-1443,FAIL
FR-003,Headset Bearings,1,79.99,BearingWorld,May 1,Sealed cartridge bearings,41.8mm/28.6mm upper 52mm/40mm lower,BW-HS-TAP,Frame,ORD-2025-1455,PASS
FR-003,Headset Bearings,0,79.99,BearingWorld,May 1,Sealed cartridge bearings,41.8mm/28.6mm upper 52mm/40mm lower,BW-HS-TAP,Frame,ORD-2025-1455,PENDING
FR-004,Stem,1,129.99,ComponentCo,30/4/25,Aluminum alloy stem,110mm -6 degree 31.8mm clamp,CC-STM-110-6,Frame,ORD-2025-1461,PASS
FR-004,Stem,1,129.99,ComponentCo,3/4/25,Aluminum alloy stem,110mm -6 degree 31.8mm clamp,CC-STM-110-6,Frame,ORD-2025-1461,PENDING
FR-005,Handlebar,,249.99,ComponentCo,pending,Carbon fiber drop bar,42cm width 31.8mm clamp compact bend,CC-BAR-42,Components,ORD-2025-1461,
FR-006,Bar Tape,2,34.99,BikeWorks,In Stock,Cork bar tape with gel padding,Black includes end plugs,BW-TAPE-BLK,Components,ORD-2025-1461,PASS
FR-007,Handlebar Shim,3,9.99,ComponentCo,30.4.25,Aluminum handlebar shim,31.8mm to 35.0mm diameter,CC-SHIM-35,Components,ORD-2025-1462,PENDING
FR-007,Handlebar Shim,0,9.99,ComponentCo,4/30/2025,Aluminum handlebar shim,31.8mm to 35.0mm diameter,CC-SHIM-35,Components,ORD-2025-1462,FAIL
FR-008,Compression Plug,1,24.99,ComponentCo,4/30/2025,Carbon steerer compression plug,For carbon steerer tubes,CC-PLUG,Components,ORD-2025-1462,PASS
FR-008,Compression Plug,1,$24.99,ComponentCo,4/30/2025,Carbon steerer compression plug,For carbon steerer tubes,CC-PLUG,Components,ORD-2025-1462,PASS
HD-001,Seatpost,1,199.99,SpecialBikes Inc.,2025-04-20,Carbon fiber seatpost,27.2mm × 350mm 20mm offset,SPB-SP-27.2,Frame,ORD-2025-1443,PASS
HD-001,Seatpost,1,199.99,SpecialBikes Inc.,2025-04-20,Carbon fiber seatpost,27.2mm × 350mm 20mm offset,SPB-SP-27.2,Frame,ORD-2025-1443,PASS
HD-002,Saddle,1,,Comfort-Tech,4/22/2025,Ergonomic road saddle,143mm width titanium rails,CT-SAD-143,Components,ORD-2025-1470,PASS
HD-002,Saddle,1,159.99,Comfort-Tech,4/22/2025,Ergonomic road saddle,143mm width titanium rails,CT-SAD-143,Components,ORD-2025-1470,PENDING
HD-003,Seat Clamp,1,24.99,CycleTech,ASAP,Aluminum quick-release clamp,31.8mm black anodized,CT-CLMP-31.8,Components,ORD-2025-1455,PASS
HD-004,Saddle Bag,one,34.99,BagWorks,2nd quarter,Medium-sized saddle bag,Water-resistant 0.75L capacity,BW-BAG-MED,Accessories,ORD-2025-1475,PENDING
HD-004,Saddle Bag,1,34.99,BagWorks,2nd quarter,Medium-sized saddle bag,Water-resistant 0.75L capacity,BW-BAG-MED,Accessories,ORD-2025-1475,PENDING
HD-005,Frame Pump,1,44.99,AirSupply,n/a,Frame-mounted mini pump,Presta/Schrader compatible 120psi max,AS-PUMP-MNI,Accessories,ORD-2025-1475,PENDING
HD-005,Frame Pump,1,44.99,AirSupply,n/a,Frame-mounted mini pump,Presta/Schrader comp 120psi max,AS-PUMP-MNI,Accessories,ORD-2025-1475,PASS
WH-001,Wheelset,1 pair,1299.99,RollingFast,5.1.25,Carbon clincher wheelset,700c 45mm depth tubeless ready,RF-WH-45C,Wheels,ORD-2025-1480,PASS
WH-001,Wheelset,1,1299.99,RollingFast,5.1.25,Carbon clincher wheelset,700c 45mm depth tubeless ready,RF-WH-45C,Wheels,ORD-2025-1480,PENDING
WH-002,Rim Tape,2,8.99,BikeWorks,,Tubeless rim tape,21mm width 10m length,BW-TAPE-21,Wheels,ORD-2025-1480,PASS
WH-002,Rim Tape,2,8.99,BikeWorks,,Tubeless rim tape,21mm width 10m length,BW-TAPE-21,Wheels,ORD-2025-1480,PASS
WH-003,Tubeless Valves,1 pair,19.99,CycleTech,April 2025,Aluminum tubeless valves,48mm length removable core,CT-VALV-48,Wheels,ORD-2025-1480,PASS
WH-003,Tubeless Valves,2,19.99,CycleTech,April 2025,Aluminum tubeless valves,48mm length removable core,CT-VALV-48,Wheels,ORD-2025-1480,PASS
WH-004,Tires,2,74.99,RubberRoad,Q2,Tubeless-ready road tires,700×28c 120 TPI folding bead,RR-TIRE-28,Wheels,ORD-2025-1480,PASS
WH-004,Tires,2,$74.99,RubberRoad,Q2,Tubeless-ready road tires,700×28c 120 TPI folding bead,RR-TIRE-28,Wheels,ORD-2025-1480,PASS
WH-005,Tubeless Sealant,1,N/A,RubberRoad,3 business days,Latex-based sealant,4oz bottle,RR-SEAL-4,Wheels,ORD-2025-1480,PENDING
WH-005,Tubeless Sealant,1,24.99,RubberRoad,3 business days,Latex-based sealant,4oz bottle,RR-SEAL-4,Wheels,ORD-2025-1480,PENDING
WH-006,Skewers,0,34.99,RollingFast,see notes,Quick-release skewers,Titanium axle aluminum lever,RF-SKEW-TI,Wheels,ORD-2025-1480,PENDING
WH-006,Skewers,1,34.99,RollingFast,see notes,Quick-release skewers,Titanium axle aluminum lever,RF-SKEW-TI,Wheels,ORD-2025-1480,PASS
WH-007,Hub End Caps,1 set,19.99,RollingFast,with wheelset,Replaceable hub end caps,For RF-45C 12mm and QR axles,RF-CAP-45C,Wheels,ORD-2025-1480,PENDING
WH-007,Hub End Caps,1,19.99,RollingFast,with wheelset,Replaceable hub end caps,For RF-45C 12mm and QR axles,RF-CAP-45C,Wheels,ORD-2025-1480,PENDING
WH-008,Wheel Bags,1 pair,39.99,RollingFast,with wheelset,Padded wheel transport bags,For up to 700c road wheels,RF-BAG,Accessories,ORD-2025-1480,PENDING
WH-008,Wheel Bag,2,€39.99,RollingFast,with wheelset,Padded wheel bags,For up to 700c road wheels,RF-BAG,Accessories,ORD-2025-1480,FAIL
